cell_id;z_alvo;altitude;n_est_cel;delta_representatividade_m
114_620;16.735;17.000;1;-0.265
121_639;16.603;6.000;1;10.603
126_522;800.595;792.000;1;8.595
129_505;880.570;895.000;1;-14.430
130_485;794.707;798.000;1;-3.293
131_466;769.313;776.000;1;-6.687
131_467;781.387;790.000;1;-8.613
132_574;879.704;895.000;1;-15.296
133_562;827.479;818.000;1;9.479
136_522;869.546;899.000;1;-29.454
138_546;833.985;826.000;2;7.985
141_572;844.365;845.000;1;-0.635
142_550;819.060;811.000;1;8.060
143_419;793.716;811.000;1;-17.284
143_454;780.406;772.000;1;8.406
145_140;759.833;807.000;1;-47.167
145_400;778.515;764.000;1;14.515
146_427;831.626;815.000;1;16.626
150_507;921.953;944.000;1;-22.047
150_604;53.884;47.000;1;6.884
152_478;800.550;810.000;1;-9.450
152_517;921.534;908.000;1;13.534
152_598;123.197;71.000;1;52.197
154_368;993.907;1009.000;1;-15.093
154_467;786.456;799.000;1;-12.544
157_219;863.097;943.000;1;-79.903
157_269;949.735;966.000;1;-16.265
159_492;870.580;872.000;1;-1.420
163_388;1194.282;1213.000;1;-18.718
163_483;722.712;723.000;1;-0.288
166_641;2.584;6.000;1;-3.416
167_478;805.700;793.000;1;12.700
170_623;4.903;6.000;1;-1.097
177_615;40.261;30.000;1;10.261
182_266;805.633;840.000;1;-34.367
183_504;761.147;803.000;1;-41.853
189_621;45.468;25.000;1;20.468
190_353;1267.283;1303.000;1;-35.717
192_396;1020.411;1027.000;1;-6.589
193_477;834.424;836.000;1;-1.576
195_560;564.337;588.000;1;-23.663
196_187;589.517;573.000;1;16.517
197_399;989.401;1000.000;1;-10.599
199_154;640.192;634.500;2;5.692
1_418;788.951;803.000;1;-14.049
200_153;628.617;647.000;1;-18.383
201_404;906.856;939.000;2;-32.144
201_405;925.216;944.667;3;-19.450
202_252;581.868;597.000;1;-15.132
203_204;502.878;515.000;1;-12.122
205_394;944.997;940.000;1;4.997
206_304;1025.957;1071.500;2;-45.543
206_616;9.128;5.000;1;4.128
210_219;343.065;418.000;1;-74.935
210_421;1094.363;1139.000;1;-44.637
211_431;1030.092;1039.000;1;-8.908
212_395;861.677;808.000;1;53.677
213_311;977.444;1025.000;1;-47.556
213_433;1024.562;1047.000;1;-22.438
213_575;73.700;72.000;1;1.700
214_369;875.573;890.000;1;-14.427
214_460;1069.840;1094.000;1;-24.160
214_488;618.941;591.000;1;27.941
215_265;852.679;878.000;1;-25.321
218_626;16.229;7.000;2;9.229
219_541;269.125;280.000;1;-10.875
224_389;759.885;749.000;2;10.885
225_390;819.031;828.000;1;-8.969
225_421;1042.114;1076.000;1;-33.886
228_520;557.775;565.000;1;-7.225
230_413;1023.355;1041.000;1;-17.645
231_181;357.856;369.000;1;-11.144
231_241;653.148;687.000;1;-33.852
232_179;302.780;297.000;1;5.780
232_241;653.003;681.000;2;-27.997
233_625;83.483;35.000;1;48.483
237_126;216.792;201.000;1;15.792
239_200;327.450;370.000;1;-42.550
239_272;593.445;595.000;1;-1.555
239_456;963.719;955.000;1;8.719
240_348;734.689;767.000;1;-32.311
240_380;767.755;729.000;1;38.755
241_130;182.679;172.000;1;10.679
242_428;863.041;872.000;1;-8.959
242_485;554.169;516.000;1;38.169
244_290;599.810;623.000;1;-23.190
246_391;1114.943;1176.000;1;-61.057
247_404;1011.139;1018.000;1;-6.861
249_458;1050.870;1054.000;1;-3.130
250_634;7.224;31.000;1;-23.776
251_453;1011.223;995.000;1;16.223
251_531;344.201;361.000;1;-16.799
251_607;137.063;81.000;1;56.063
253_443;976.163;978.000;1;-1.837
255_419;871.524;869.000;1;2.524
258_544;676.099;670.160;1;5.939
260_341;495.143;452.000;1;43.143
261_228;520.627;571.000;1;-50.373
264_382;944.396;963.500;2;-19.104
265_382;932.125;965.000;1;-32.875
